timestamp,exchange_Auvergne Rhone Alpes_Nouvelle Aquitaine
01/11/2021 22:00,-4000.0
01/11/2021 22:30,-4000.0
01/11/2021 23:00,-4000.0
01/11/2021 23:30,-3073.0
01/12/2021 00:00,-3562.0
01/12/2021 00:30,-3561.0
01/12/2021 01:00,-4000.0
01/12/2021 01:30,-4000.0
01/12/2021 02:00,-4000.0
01/12/2021 02:30,-4000.0
01/12/2021 03:00,-4000.0
01/12/2021 03:30,-4000.0
01/12/2021 04:00,-4000.0
01/12/2021 04:30,-4000.0
01/12/2021 05:00,-4000.0
01/12/2021 05:30,-4000.0
01/12/2021 06:00,-4000.0
01/12/2021 06:30,-4000.0
01/12/2021 07:00,-4000.0
01/12/2021 07:30,-4000.0
01/12/2021 08:00,-4000.0
01/12/2021 08:30,-3509.0
01/12/2021 09:00,-4000.0
01/12/2021 09:30,-4000.0
01/12/2021 10:00,-3679.0
01/12/2021 10:30,-4000.0
01/12/2021 11:00,-4000.0
01/12/2021 11:30,-4000.0
01/12/2021 12:00,-4000.0
01/12/2021 12:30,-3784.0
01/12/2021 13:00,-4000.0
01/12/2021 13:30,-3979.0
01/12/2021 14:00,-4000.0
01/12/2021 14:30,-4000.0
01/12/2021 15:00,-4000.0
01/12/2021 15:30,-4000.0
01/12/2021 16:00,-4000.0
01/12/2021 16:30,-4000.0
01/12/2021 17:00,-4000.0
01/12/2021 17:30,-4000.0
01/12/2021 18:00,-4000.0
01/12/2021 18:30,-3557.0
01/12/2021 19:00,-4000.0
01/12/2021 19:30,-4000.0
01/12/2021 20:00,-4000.0
01/12/2021 20:30,-3592.0
01/12/2021 21:00,-4000.0
01/12/2021 21:30,-4000.0
01/12/2021 22:00,-4000.0
01/12/2021 22:30,-4000.0
01/12/2021 23:00,-4000.0
01/12/2021 23:30,-4000.0
02/01/2021 00:00,-4000.0
02/01/2021 00:30,-4000.0
02/01/2021 01:00,-3662.0
02/01/2021 01:30,-4000.0
02/01/2021 02:00,-4000.0
02/01/2021 02:30,-3729.0
02/01/2021 03:00,-4000.0
02/01/2021 03:30,-4000.0
02/01/2021 04:00,-4000.0
02/01/2021 04:30,-4000.0
02/01/2021 05:00,-4000.0
02/01/2021 05:30,-4000.0
02/01/2021 06:00,-4000.0
02/01/2021 06:30,-3700.0
02/01/2021 07:00,-4000.0
02/01/2021 07:30,-4000.0
02/01/2021 08:00,-3496.0
02/01/2021 08:30,-4000.0
02/01/2021 09:00,-4000.0
02/01/2021 09:30,-4000.0
02/01/2021 10:00,-3446.0
02/01/2021 10:30,-4000.0
02/01/2021 11:00,-4000.0
02/01/2021 11:30,-4000.0
02/01/2021 12:00,-4000.0
02/01/2021 12:30,-4000.0
02/01/2021 13:00,-4000.0
02/01/2021 13:30,-4000.0
02/01/2021 14:00,-2965.0
02/01/2021 14:30,-4000.0
02/01/2021 15:00,-3442.0
02/01/2021 15:30,-4000.0
02/01/2021 16:00,-4000.0
02/01/2021 16:30,-3765.0
02/01/2021 17:00,-4000.0
02/01/2021 17:30,-4000.0
02/01/2021 18:00,-4000.0
02/01/2021 18:30,-4000.0
02/01/2021 19:00,-4000.0
02/01/2021 19:30,-4000.0
02/01/2021 20:00,-4000.0
02/01/2021 20:30,-4000.0
02/01/2021 21:00,-4000.0
02/01/2021 21:30,-4000.0
02/01/2021 22:00,-4000.0
02/01/2021 22:30,-4000.0
02/01/2021 23:00,-4000.0
02/01/2021 23:30,-4000.0
02/02/2021 00:00,-4000.0
02/02/2021 00:30,-3956.5335
02/02/2021 01:00,-4000.0
02/02/2021 01:30,-4000.0
02/02/2021 02:00,-4000.0
02/02/2021 02:30,-4000.0
02/02/2021 03:00,-4000.0
02/02/2021 03:30,-4000.0
02/02/2021 04:00,-4000.0
02/02/2021 04:30,-4000.0
02/02/2021 05:00,-4000.0
02/02/2021 05:30,-4000.0
02/02/2021 06:00,-4000.0
02/02/2021 06:30,-4000.0
02/02/2021 07:00,-3718.0
02/02/2021 07:30,-3596.0
02/02/2021 08:00,-4000.0
02/02/2021 08:30,-4000.0
02/02/2021 09:00,-4000.0
02/02/2021 09:30,-4000.0
02/02/2021 10:00,-4000.0
02/02/2021 10:30,-4000.0
02/02/2021 11:00,-4000.0
02/02/2021 11:30,-4000.0
02/02/2021 12:00,-4000.0
02/02/2021 12:30,-4000.0
02/02/2021 13:00,-4000.0
02/02/2021 13:30,-4000.0
02/02/2021 14:00,-4000.0
02/02/2021 14:30,-4000.0
02/02/2021 15:00,-4000.0
02/02/2021 15:30,-4000.0
02/02/2021 16:00,-4000.0
02/02/2021 16:30,-4000.0
02/02/2021 17:00,-4000.0
02/02/2021 17:30,-4000.0
02/02/2021 18:00,-4000.0
02/02/2021 18:30,-4000.0
02/02/2021 19:00,-4000.0
02/02/2021 19:30,-4000.0
02/02/2021 20:00,-4000.0
02/02/2021 20:30,-3940.0
